S.N.,Date,5m,10m,15m,Load1,Load2,Load3,Avg
1,2/19/2025,,,,1.8,2.3,6.8,3.63
2,2/20/2025,,,,2.1,2.2,7.1,3.8
3,2/21/2025,,,,1.4,2.1,6.8,3.43
4,2/22/2025,,,,2.1,2.1,6.7,3.63
5,2/23/2025,,,,1.9,2.3,6.8,3.67
6,2/24/2025,,,,2,1.8,6.8,3.53
7,2/25/2025,0,-2.4,0.2,1.6,1.9,6.7,3.4
8,2/26/2025,0.3,-2.1,0.2,2.2,2.4,8.6,4.4
9,2/27/2025,0.3,-1.8,0.2,2.2,2.4,8.6,4.4
10,2/28/2025,0,-0.7,0,2.2,2.6,8.7,4.5
11,3/1/2025,0.1,-0.5,0.4,3.1,3.3,9.5,5.3
12,3/1/2025,0.5,0,0.2,2.7,2.9,8.5,4.7
13,3/2/2025,0.7,0,0.2,2.7,2.9,8.4,4.67
14,3/2/2025,0.6,0,0.2,2.7,2.9,8.1,4.57
15,3/3/2025,0.6,0,0.4,2.7,2.9,8.4,4.67
16,3/3/2025,0.6,0,0.4,2.7,2.9,8.4,4.67
17,3/4/2025,0.3,-0.7,0.2,2.6,2.6,9.4,4.87
18,3/4/2025,0.3,-0.7,0.2,2.6,2.6,9.4,4.87
19,3/5/2025,0.1,-0.9,0.2,2.5,2.6,-78.5,-24.47
20,3/5/2025,-2,-2.2,0.2,2.6,2.6,-100,-31.6
21,3/6/2025,-4,-4.3,0.4,2.7,2.7,-226.8,-73.8
22,3/6/2025,-2,-0.9,0.2,2.6,2.7,-385,-126.57
23,3/7/2025,0.1,-4.2,0.4,2.7,2.9,-390.5,-128.3
24,3/7/2025,0.1,-4.2,0.4,2.7,2.9,-410,-134.8
25,3/8/2025,-21.8,-22.8,0.2,2.7,2.8,-1.3,1.4
26,3/8/2025,-2.5,-4.3,0.2,2.7,2.8,-391.2,-128.57
27,3/9/2025,-2.5,-4.3,0.2,2.7,3,-391.2,-128.5
28,3/9/2025,-1,-4.3,0.2,2.7,3,-391.2,-128.5
29,3/10/2025,0.9,-4.3,0.4,2.7,2.9,-390.2,-128.2
30,3/10/2025,0.9,-4.3,0.4,2.7,2.9,-390.2,-128.2
31,3/11/2025,0.7,-4.3,0.2,2.7,2.9,-390.2,-128.2
32,3/11/2025,0.9,-4.3,0.2,2.7,2.9,-390.2,-128.2
33,3/12/2025,0.9,-4.7,0,2.7,2.9,-390.2,-128.2
34,3/12/2025,0.9,-4.7,0,2.7,2.9,-390.2,-128.2
35,3/14/2025,0.9,-2.6,0.2,2.6,2.9,-282.5,-92.33
36,3/14/2025,0.9,-2.6,0.2,2.6,2.9,-282.5,-92.33
37,3/15/2025,0.7,-2.2,0.2,2.6,3,-390.5,-128.3
38,3/15/2025,0,-5.1,0,2.7,2.9,-390.5,-128.3
39,3/16/2025,0,-5.1,0,2.7,2.9,-390.5,-128.3
40,3/16/2025,0,-5.1,0,2.7,2.9,-390.5,-128.3
41,3/17/2025,0,-3.2,0,2.6,2.9,-390.5,-128.33
42,3/17/2025,0,-5.1,0,2.7,2.9,-390.5,-128.3
43,3/18/2025,0,-3.8,0.4,2.6,2.9,-241.3,-78.6
44,3/18/2025,,,,,,,
45,3/20/2025,0,-5.9,0,2.6,2.9,-390.2,-128.23
46,3/20/2025,,,,,,,
47,3/21/2025,1,-4.3,0.2,2.6,2.8,-335,-109.87
48,3/22/2025,0.7,-4,0.2,2.6,2.9,-270.3,-88.27
49,3/23/2025,0.7,-4.7,0,2.6,2.9,-390.2,-128.23
50,3/24/2025,0,-4.9,0,2.6,3,-389.8,-128.07
51,3/25/2025,0.3,-4,0.2,2.6,2.9,-371.1,-121.87
52,3/26/2025,0.3,-3.6,0.4,2.5,2.8,-252,-82.23
53,3/27/2025,0.3,-4,0.4,2.6,2.9,-242.1,-78.87
54,3/28/2025,0.1,-4.5,0.4,2.6,2.8,-390.2,-128.27
55,3/30/2025,0.1,-4.1,0.4,2.6,2.8,-265.4,-86.67
56,3/31/2025,0.7,-3.8,0.2,2.5,2.9,-195.7,-63.43
57,4/2/2025,0.1,-2.1,0.4,2.5,2.8,-102.1,-32.27
58,4/10/2025,0.1,-1.7,0.2,2.5,2.7,-28.2,-7.67
,5/5/2025,0.1,-1.7,0.2,2.5,2.7,-196.4,-63.7
,5/6/2025,0.2,-2.3,0.4,2.6,2.8,-386.3,-127.0
,5/7/2025,0.3,-2.1,0.3,2.5,2.8,-390.2,-128.3
,5/12/2025,0.3,-2.1,0.4,2.5,2.8,-195.6,-63.4
,5/13/2025,0.4,-2.2,0.4,2.6,2.9,-390.4,-128.3
,5/18/2025,0.5,-2.6,0.6,2.5,3,-390.2,-128.2
,5/19/2025,0.5,-2.8,0.6,2.8,3.2,-390.2,-128.1
